,Title,Company,Talking,Cleaning,Food,Building,Organizing,Computers,Numbers,Translating,Machinery,Description,Wage,Link
137,Customer Service Represe...,Nesco Resource,X,,,,,,,,,"The primary focus of this position is to act as a representative of our company to provide top quality customer service to our customers. Previous optical industry experience is a plus. One plus years of Call Center experience required.Duties in this position are usually repetitive, requiring ana...",$15,https://www.careerbuilder.com/job/J3T42J74Z6Q8XHV9LVG
138,Client Specialist Non-Pr...,Express Employment Professionals,X,,,,X,,,,,"Client Specialist for Non-Profit Organization, Part-Time Are you looking for an on-site, part-time opportunity to help people become the best version of themselves? Use your experience in human services, social work, or the non-profit sector to make a difference in this non-profit role! Local St....",$17,https://de.jobsyn.org/69b94eb9df9f40deb518457c0f2495651387\nmailto:lori.kampa@expresspros.com
139,Warehouse Office Assista...,Express Employment Professionals,,,,,X,X,,,,"Express Employment is looking for an immediate clerical candidate to fill a Warehouse Clerk/Office Assistant role in a long term opportunity. This position is looking to start right away, with some overtime available. A great opportunity to jump start you career! In this role you are responsible ...",$17,https://de.jobsyn.org/b85e080b12674586b0c90bd7ef5f4f4d1387\nmailto:jobs.stcloudmn@expresspros.com
140,Optical Lab Technician (...,Sola Optical,X,,,,,X,,,,"Optical Lab Technician (1st Shift) St Cloud, MN Step out of your comfort zone, excel and redefine the limits of what is possible. That's just what our employees are doing every single day - in order to set the pace through our innovations and enable outstanding achievements. After all, behind eve...",~$12,https://de.jobsyn.org/bc917f9c97dc4abb82499617f9e7dfc01387
141,Optical Lab Technician (...,Sola Optical,X,,,,,X,,,,"Optical Lab Technician (3rd Shift | 20% Shift Differential) St Cloud, MN Step out of your comfort zone, excel and redefine the limits of what is possible. That's just what our employees are doing every single day - in order to set the pace through our innovations and enable outstanding achievemen...",~$12,https://de.jobsyn.org/cee66a5e1975498c99305468350e96a51387
142,"Coach, Head, Senior High...",St. Cloud Area School District 742,X,,,,X,,,,X,"\n \nTYPE OF POSITION: \nExtracurricular \nHours may vary based on program needs \n \nREPORTS TO: \nActivities Director, Building Principals \n \nSUPERVISION: \nAssistant Coaches, Volunteers (under the direction of the Activities Director) \n \nQUALIFICATIONS: \nMN Coaching license or Bachelor’s ...",~$23,https://www.k12jobspot.com/District/9996/jobs
143,"Coach, Head, Senior High...",St. Cloud Area School District 742,X,,,,X,,,,X,"\n \nTYPE OF POSITION: \nExtracurricular \nHours may vary based on program needs \n \nREPORTS TO: \nActivities Director, Building Principals \n \nSUPERVISION: \nAssistant Coaches, Volunteers (under the direction of the Activities Director) \n \nQUALIFICATIONS: \nMN Coaching license or Bachelor’s ...",~$23,https://www.k12jobspot.com/District/9996/jobs
144,"Executive Assistant, CEO",ACCOLADE,,,,,,,,,X,"Accolade is a personalized health and benefits solution that can dramatically improves the experience, outcomes and cost of healthcare for employers, health plans and their members. With a unique blend of compassionate advisors, clinical experts and intelligent technologies, we engage individuals...",~$25,https://jobs.thejobnetwork.com/job/459240962/executive-secretary-job-in-saint-cloud-mn-56301
145,Dedicated Lane Kansas Ci...,CWT- Driver Advocates,,,,,,,,,,"Dedicated Lane Kansas City, MO, Fargo/Grand Forks ND, Mankato/St Cloud, MN Home Weekly Apply Online Below or Give Us a Call Today: 866 WIDE TURNS (866-943-3887) Great pay and Great Home Time! Life on the road can be difficult at times. How about a schedule that allows for great home time with a c...",~$30,https://www.jobsinlogistics.com/cgi-local/search.cgi?action=ViewJobDetails&JobIndNum=16583966
146,Program Support Assistan...,"Veterans Affairs, Veterans Health Administration",X,,,,X,,,,X,"Summary The incumbent serves as the Outreach Assistant for the St. Cloud VA Health Care System. The incumbent assists the Outreach Coordinator with the development, management and execution of the outreach program. The functional duties & primary focus of this position is to increase Veteran awar...",$24,https://de.jobsyn.org/ab809222b2d149deab4aa41848d08c391387
147,Student looking for part...,__?__,,,X,X,X,,,,X,"Click to apply Handy is a nationwide home services platform that is looking for professional handymen! Handy operates in more than 250 cities and has been featured in sites like Forbes, NYTimes, CNBC, The Economist. Our app will connect you to customers instantly. Switch it on to see people near ...",$25,https://stcloud.craigslist.org/lab/d/saint-cloud-student-looking-for-part/7314079944.html
148,Merchandiser - JUUL - Gr...,__?__,X,,,,X,X,,,X,APPLY HERE!! https://www.juullabs.com/about/company/careers/ THE COMPANY: Juul Labs’ mission is to impact the lives of the world’s one billion adult smokers by eliminating combustible cigarettes. We have the opportunity to address one of the world’s most intractable challenges through a commitmen...,~$12,https://stcloud.craigslist.org/ret/d/saint-cloud-merchandiser-juul-great/7314148601.html
149,CDL Residential Driver -...,__?__,,,,,,,,,X,"Why work for Waste Management? STABILITY. GREAT PAY. ADVANCEMENT. When you drive for WM, you join a team of the best drivers in the nation - professional, well trained, and skilled. Our drivers work hard and drive safe. Why should you apply? We invest in you! Be home every night and weekend Indus...",~$32,https://stcloud.craigslist.org/trp/d/saint-cloud-cdl-residential-driver/7313950880.html
150,TELL US WHERE YOU WANT T...,__?__,,,,,,,X,,,"TRADITION TRANSPORTATION HIRING EXPERIENCED DRIVERS GROSS $6000+ WEEKLY! $1000.00 SIGN-ON BONUS Tell us where YOU like to run! Guaranteed & Planned Freight: 80% CUSTOMER FREIGHT, 20% BROKERED Loads move from Midwest-Southeast-Midwest-Northeast-East Coast SOME SHIPPERS ARE OPEN 24HRS!!! Maintenanc...",~$26,https://stcloud.craigslist.org/trp/d/angola-tell-us-where-you-want-to-run/7313993252.html
151,DOMINO'S DRIVERS EARN UP...,__?__,,,,,,,,,,"ABOUT THE JOB Do you know why Domino's Pizza hires so many drivers? Well, aside from the fact that our delicious pizza is the perfect solution for dinner for families all across the nation - we do it because we can. What do we mean by that, you ask? We mean that we offer a great flexible schedule...",$27,https://stcloud.craigslist.org/trp/d/alexandria-dominos-drivers-earn-up-to/7314079477.html
152,"Welder in Saint Cloud, M...",Energy Jobline,,,,X,,,,,X,"We are looking for a Welder Energy Jobline would like to introduce the role of Welder based in Saint Cloud, MN, USA. If you think you are a suitable match for this role, please hit the apply button for more details. Now Hiring Class A, B, and C Welders For Multiple Locations! Purpose To join two ...",~$19,https://www.energyjobline.com/job/welder-saint-cloud-mn-usa-3614056
153,CNC Machinist Mill/Lathe,Aerotek,,,,,,,,,X,"**Description:** Candidates will be learning how to operate and set up various CNC Machines as well as doing inspections using micrometers, calipers, and blueprints. Looking for all skill levels, but will train someone with no experience, so long as they have mechanical aptitude and a strong desi...",~$24,https://de.jobsyn.org/369eec20ebb8497ebafd6a77023606fc1387
154,Now Hiring - SPD Supervi...,sunbelt,,,,,,,,,,"Sunbelt Staffing is now interviewing for an experience Sterile Processing Supervisor role near Minneapolis, MN. This is a 13-26 week assignment. The client has offered an increased rate due to demand. Qualified candidates are needed quickly. Those applying must have a minimum of 3 years of experi...",~$22,https://www.nursejungle.com/nursing-jobs/now-hiring-spd-supervisor-travel-assignment/2890865/j/
155,Provider Solutions Summe...,Anthem,,,,,,,,,,"DESCRIPTION SHIFT: Day Job SCHEDULE: Full-time _Your Talent. Our Vision._ AT ANTHEM, INC., it’s a powerful combination, and the foundation upon which we’re creating greater care for our members, greater value for our customers, and greater health for our communities. Join us and together we will ...",~$25,https://jobs.thejobnetwork.com/job/459043333/job-in-saint-cloud-mn-56301
156,Sales Development Rep,Moody's Corporation,X,,,,X,,,X,,"Moody's (NYSE: MCO) is a global integrated risk assessment firm that empowers organizations to make better decisions. Our data, analytical solutions and insights help decision-makers identify opportunities and manage the risks of doing business with others. We believe that greater transparency, m...",~$37,https://careers.moodys.com/jobs/20962BR-sales-development-rep-amsterdam-bratislava-brussels-copenhagen-edinburgh-frankfurt-geneva-lisbon-london-manchester-milan-montbonnot-saint-martin-moscow-paris-prague-rome-saint-cloud-cedex/
157,Manager - Assistant #146,KWIK TRIP INC,,,,,X,,,,X,"Location: Kwik Trip #146 2211 W Division St St Cloud , MN 56301 Requisition: 116819 Shift: Variable Education Experience: No Degree Employment Experience: 1-3 years Already a Kwik Trip Co-worker? Follow this link to apply: myapps.kwiktrip.com Assistant Store Leader: Kwik Trip is seeking energetic...",~$21,https://www.prodivnet.com/job/manager-assistant-146-st-cloud-minnesota-4976482
158,Assistant Food Service L...,KWIK TRIP INC,,X,X,,,,,,X,"Location: Kwik Trip #146 2211 W Division St St Cloud , MN 56301 Requisition: 116794 Range Min: $13.99 Shift: Variable Assistant Food Service Leader Kwik Trip is seeking energetic, outgoing and positive people to make a difference in the communities we serve. Our Assistant Food Service Leaders are...",~$26,https://jobs.kwiktrip.com/job/St-Cloud-Assistant-Food-Service-Leader-146-MN-56301/738137100/
159,Food Product Demonstrato...,KWIK TRIP INC,,,X,,,,,,X,"Location: Kwik Trip #151 3705 23rd Street S St Cloud , MN 56301 Requisition: 116763 Range Min: $13.16 Shift: Variable Food Product Demonstrator: Kwik Trip is seeking energetic, outgoing and positive people to make a difference in the communities we serve. Our Food Product Demonstrators provide ou...",$13,https://jobs.kwiktrip.com/job/St-Cloud-Food-Product-Demonstrator-151-MN-56301/737928300/
160,Retail Bakery Coworker #...,KWIK TRIP INC,,X,X,,,,,,X,"Location: Kwik Trip #151 3705 23rd Street S St Cloud , MN 56301 Requisition: 116762 Range Min: $13.16 Shift: Variable Retail Bakery co-workers: Kwik Trip is seeking energetic, outgoing and positive people to make a difference in the communities we serve. Our Retail Bakery co-workers support the e...",~$19,https://jobs.kwiktrip.com/job/St-Cloud-Retail-Bakery-Coworker-151-MN-56301/737927500/
161,LPN CMA - Internal Med R...,CentraCare Health System,X,,,,,,,,,Job Description What you'll do: - Provide patient focused rooming for all types of clinic visits - Communicate results and other pertinent medical information to patients and providers - Assist in assuring the day to day activities of the clinic are completed timely and efficiently - Assist Provi...,~$21,https://www.snagajob.com/jobs/554293746
162,TRANSPORTERUNIT SUPPORT ...,CentraCare Health System,,,,,,X,,,,"Job Description Full-time, 80 hours per pay period (two weeks), 7:30a-4p Monday- Friday, every 4th weekend from 7a-2p, 1-2 holidays per year JOB SUMMARY: Transports patients of all ages to and from the Imaging Services Department, maintaining a professional attitude at all times. Acts as a suppor...",~$14,https://www.snagajob.com/jobs/553467094
163,PHLEBOTOMISTLABORATORY A...,CentraCare Health System,,,,,,X,,,,"Job Description Part-time, 40 hours per pay period (two weeks), Shifts variable based on candidate availability, includes e/o weekend, rotating holidays JOB SUMMARY: Performs tasks that are necessary to support pre-testing and post-testing functions within CentraCare Health Laboratories. Supports...",~$21,https://www.snagajob.com/jobs/620819050
164,Boiler Operator/Maintena...,CentraCare Health,,,,,,X,,,X,"Full-time; Rotating Shifts and Holidays JOB SUMMARY: Operates, maintains and performs preventive maintenance on the following rooms and equipment; boiler, chiller, and mechanical. Supports and implements patient safety and other safety practices as appropriate. Supports and demonstrates Family Ce...",~$29,https://elyb.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/204456
165,PATIENT ACCESS ASSISTANT...,CentraCare Health,X,,,,,,,,,"Find your purpose assisting our patients at CentraCare as a Patient Access Assistant! This position will support the Northway Family Med Department at the CentraCare Northway Clinic location. Full Time, 80 hours per two week pay period. Monday - Friday 8 hour shifts between 6:45am and 5pm. Our Pa...",~$17,https://elyb.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/204447
166,Full-Time Nabisco Sales ...,Mondelez International,X,,,,X,,,,,**Job Description** **Are You Ready to Make It Happen at Mondelēz International?** **Join our Mission to Lead the Future of Snacking. Make It With Pride** You will optimize sales with our customers focusing on maximizing instore visibility of our products. You will deliver your field KPIs and ann...,$15,https://de.jobsyn.org/faa98e974d4046eaa3fbbab5cec9de231387
167,0130C-COLOR CURL CONCIER...,COSMOPROF,X,,,,X,,,,,"Job Description At CosmoProf, we dedicate ourselves to licensed professionals in the Beauty Industry and are committed to making our salon professional customers feel inspired to be their best! We don't just service the customer - we connect to provide an EPIC experience based on our four pillars...",~$39,https://www.snagajob.com/jobs/622782274
168,CDL-A Company Driver - O...,CDL Life,,,,,,,,,,Job Description Schneider Is Offering Paid CDL Training Options! . Still need CDL training? Schneider paid CDL training options No Experience Required! Let Schneider cover the cost of your CDL training. Schneider offers a variety of paid CDL training options for driving candidates that are intere...,~$29,https://www.snagajob.com/jobs/622796686
169,Office Assistant PT into...,Express Employment Professionals,X,,,,X,,,,,"Express is seeking candidates for a unique and fun part-time position, that will grow into a full-time Office Administrator role! This position has a flexible schedule and is able to be worked a few days a week, or half days each week day for the time being. Main duties will include posting on so...",$19,https://de.jobsyn.org/879e346e707044c38bbf9e721066c0401387\nmailto:jobs.stcloudmn@expresspros.com
170,Office Assistant/Social ...,"Express Services, Inc.",X,,,,X,X,,,,"Share Top Job Located in Saint Cloud, MN Salary: $16-$19/hr Express is seeking candidates for a unique and fun part-time position, that will grow into a full-time Office Administrator role! This position has a flexible schedule and is able to be worked a few days a week, or half days each week da...",$19,http://jobs.expresspros.com/job/details?jobControlNum=13693242
171,Operations Admin I - III...,FedEx Ground,,,,,X,,,,,"Auto req ID: 275774BR Position Type: Part time Employee Type: Non-Exempt Job Summary Responsible for performing the clerical and administrative functions for any or all hub and station operational areas, including linehaul, records management, quality assurance and customer service. Tends to dama...",~$20,https://www.jobshq.com/job/3807277/operations-admin-i-iii-senior-/
172,Food Sample Representati...,Advantage Solutions,,,X,,,X,,,,"Job Description CDS Part Time Product Demonstrator Are you outgoing and enthusiastic about interacting with people? If promoting the best brands to today's shoppers sounds appealing, then Club Demonstration Services (CDS), the in-house product demonstration company for Costco, might be the place ...",~$11,https://www.snagajob.com/jobs/622832421
173,Part Time Entry Level Fo...,Advantage Solutions,,,X,,,X,,,,"Job Description CDS Part Time Product Demonstrator Are you outgoing and enthusiastic about interacting with people? If promoting the best brands to today's shoppers sounds appealing, then Club Demonstration Services (CDS), the in-house product demonstration company for Costco, might be the place ...",~$10,https://www.snagajob.com/jobs/622832578
174,Food Demonstrator - Hiri...,Advantage Solutions,,,X,,,X,,,,"Job Description CDS Part Time Product Demonstrator Are you outgoing and enthusiastic about interacting with people? If promoting the best brands to today's shoppers sounds appealing, then Club Demonstration Services (CDS), the in-house product demonstration company for Costco, might be the place ...",~$11,https://www.snagajob.com/jobs/622832432
175,IT Sales Representative,Marco Technologies,,,,,X,X,,,,"Marco is a one-stop shop for all things business tech. Our employees are “movers and shakers” and our company is always striving to do what’s right. Does this sound like a culture you want to be a part of? We’re hiring a new team member to help take Marco’s technology further – working full-time,...",~$30,https://jobs.lever.co/marco/99a0682b-35a2-41c5-ac48-4535afcb85a5
176,Framer,M & L Construction of St Cloud Inc,,,,X,,,,,,"Job Description Commercial framer. Experience preferred but not required. General knowledge of construction tools. Pay is based on experience. Some travel may be required. Text or email preferred. Location/Region: Saint Cloud, MN",~$19,https://jobs.thejobnetwork.com/job/458955268/framer-job-in-saint-cloud-mn
177,Holiday Store Assistant ...,"Coborn's, Incorporated",,,,,X,,,,X,"Description Coborn's, Inc operates 15 Holiday convenience stores throughout central Minnesota and we're looking of the next aspiring leader to join our team! We are hiring for a full-time Assistant Store Manager! As the Assistant Store Manager, you will be responsible for assisting the Store Mana...",~$22,https://de.jobsyn.org/ecac9e001fc5425f9b22f26530a578a61387
178,Customer Experience Spec...,Best Buy,,,,,X,X,,,,"Job Description Job Title Customer Experience Specialist (Advisor) Job Category Store Associates Store Number or Department 000012-St Cloud-Store Job Description The Best Buy Advisor engages customers using relationship skills and inspires them to see what's possible with technology. In addition,...",~$13,https://www.snagajob.com/jobs/622926757
179,Dispatch Manager,PRINSCO INC,,,,,,X,,,,"Prinsco offers a competitive compensation and benefits package that includes dental, vision, 100% paid life insurance, and two medical plan options where employee contribution rates have NOT INCREASED in three years. In addition, we offer a 401k that is matched up to 5% deferred and 100% vested i...",~$22,http://mepjobs.birddoghr.com/Job/614521
180,Lab Tech I,__?__,X,,,,,,,,X,"Acara Solutions is looking for a Lab Technician for our Client located in Saint Cloud, MN. - This position supports Client""s Mission by performing routine work in assigned areas that are usually repetitive, requiring limited analysis and use of individual judgement. - This position is closely sup...",~$12,https://careers.superiorjobs.com/jobdetails.asp?jo_num=483100
181,Earn Your CDL with Trans...,__?__,,,,,,,,,X,"We invest in having a great team: Get paid while you train. Earn your CDL (Commercial Driver’s License), and have a position waiting when you’re finished. Transystems provides Class A CDL training every summer. • 180-day commitment after training completion. • One-on-one mentoring. • Housing Avai...",~$32,https://stcloud.craigslist.org/trp/d/hillsboro-earn-your-cdl-with-transystems/7313267130.html
182,Attention CLD Class A Dr...,__?__,,,,,,,,,,We are hiring both full and part time Class A drivers. Hiring Bonus for full time drivers Part time tanker endorsement very helpful as looking for weekend tanker drivers. As well as weekend help doing drop/hook no touch freight dry vans. Looking for full time then we have openings as well; sleep ...,~$32,https://stcloud.craigslist.org/trp/d/cold-spring-attention-cld-class-drivers/7313292625.html
183,Specialized CDL Truck Dr...,__?__,X,,,,,,,,,"Currently seeking a CDL driver that is looking for a new opportunity to work with open deck moves. Looking for someone that is capable of 6-13 axle trailer configurations. We move Heavy equipment such as Excavators, Loaders, Dozers, Cranes to Misc. Construction equipment that is needed on Job sit...",~$32,https://stcloud.craigslist.org/trp/d/saint-cloud-specialized-cdl-truck-driver/7313298621.html
184,Class A & B Drivers Want...,__?__,,,,,,,,,X,"TransForce is seeking full-time Class A & B Truck Drivers in Herman, MN - $24.00 - $27.00 Per Hour Plus Benefits - Monday thru Friday - Valid Class A CDL or Class B - Hazmat, Tanker, and Air Brake endorsements - 3 plus months of Class A or Class B experience APPLY NOW or CALL 843-266-1391 FOR MOR...",$27,https://stcloud.craigslist.org/trp/d/saint-cloud-class-drivers-wanted-for/7317164324.html
185,DIESEL MECHANIC WANTED,__?__,,,,,,,,,,"Class A/class B diesel mechanic WANTED in Saint Cloud. GOOD PAY! 3734 Roosevelt RD Saint Cloud, MN, 56301 Call +1 (320) 380-3727 STOP BY OR CALL US",~$25,https://stcloud.craigslist.org/trd/d/saint-cloud-diesel-mechanic-wanted/7313235115.html
186,Welder/Fabricator (Centr...,__?__,,,,,,,,,,"We are an established truck body & equipment manufacturer seeking a motivated individual skilled in welding & fabrication. Our services also include truck equipment up-fitting, collision/frame repair and restoration on everything from light duty to heavy duty trucks and trailers. If you enjoy wor...",~$19,https://stcloud.craigslist.org/trd/d/elrosa-welder-fabricator-central-mn/7313293757.html
187,Commercial Construction ...,__?__,,,,X,,,,,,"Ebert Construction is seeking a Project Superintendent for various sized projects in the commercial construction field. Ebert Construction is a family owned and operated company that has been serving the area for over 50 years. Our team is made up of over 50 employees, many who have been with us ...",~$25,https://stcloud.craigslist.org/bus/d/loretto-commercial-construction-project/7313253156.html
188,    ,Boys & Girls Clubs of Central Minnesota,,,,,,X,,,,"Job Check-In Monitor Department: Program Reports To: Unit Director FLSA Status: Non-Exempt JOB DESCRIPTION SUMMARY Responsible for safely checking in all members to the club and entering names into the data base. Assures that bags, coats and hats are left at the check-in desk before entering the ...",~$21,https://www.bgcmn.org/check-in-monitor/
189,Referral Coordinator/Sch...,Center for Diagnostic Imaging,,,,,X,X,,X,,"Job Summary We are seeking a Full-Time Referral Coordinator/Scheduling Specialist to work at both our Sartell and St. Cloud South centers. This role will work under the direction of the Office Supervisor, provides services to patients and internal/external referring professionals by coordinating ...",~$16,https://recruiting.adp.com/srccar/public/RTI.home?d=ExternalCareerSite&c=1135207#/
190,LPN / CMA - Internal Med...,CentraCare Health,X,,,,,,,,,What youâ€™ll do: - Provide patient focused rooming for all types of clinic visits - Communicate results and other pertinent medical information to patients and providers - Assist in assuring the day to day activities of the clinic are completed timely and efficiently - Assist Providers with clin...,~$21,https://elyb.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/204442
191,STAFFING ASSISTANT-PT st...,CentraCare Health,,,,,,X,,,,"32-40 hrs/two week pay period. Straight nights (11pm-7:30am) every 3rd weekend, rotating holidays. Minimum rate of pay starts at $16.54/hour. **Straight night differential applies (+$3/hour). This is a benefit eligible position - includes medical insurance, dental insurance, paid time off plus mu...",$17,https://elyb.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/204383
192,Assembly,"TOLOMATIC, INC.",,,,,,X,,,X,"Tolomatic, Inc. Innovative Motion Control Products that Solve Your Most Challenging Applications Production Associate (Assembly) 1st Shift - 6:30 am to 3:00 pm Monday-Friday 2nd Shift - 2:50 pm to 1:20 am Monday-Thursday ($1/hour Shift Premium) Our Company Founded in 1954, Tolomatic is a leading ...",~$14,https://www.jobshq.com/job/3778400/assembly/
193,Fulfillment Associate Mo...,Wolters Kluwer,X,,,,X,,,,,"Job Description Location: USA-MN-St Cloud-Sauk View Dr Start a career with Wolters Kluwer (WLKR). We are hiring in our Governance, Risk & Compliance (GRC) division. GRC is a division that provides a broad spectrum of solutions, services and expertise to legal, finance, risk and compliance profess...",~$16,https://www.snagajob.com/jobs/623040411
194,Referral Coordinator/Sch...,CDI,,,,,X,X,,X,,"We are seeking a Full-Time Referral Coordinator/Scheduling Specialist to work at both our Sartell and St. Cloud South centers. This role will work under the direction of the Office Supervisor, provides services to patients and internal/external referring professionals by coordinating and scheduli...",~$16,https://de.jobsyn.org/e32f7d19956941a3b44efa7b2af75c141387
195,Fleet Operations Support,Anderson Trucking Service,X,,,,,X,X,,,"Summary To ensure high quality and profitable operation of the division, the Operations Support - FM will learn the day to day operations of the Fleet Manager role by providing coverage to open fleets. Providing support to lead a fleet of Company or Independent Contractor drivers in a deadline dr...",~$23,https://www.energyjobline.com/job/fleet-operations-support-3719732
196,Key Account Representati...,Anderson Trucking Service,X,,,,X,X,,,X,"Summary The Key Account Representative is responsible for servicing the customer/shipper base of ATS Logistics Services, Inc. by providing outstanding customer service. This person will contact new and existing customers to secure shipments for current and future shipments; evaluate and maintain ...",~$30,https://atsinc.acquiretm.com/job_details_clean.aspx?ID=2164
197,Cryptologic Operations W...,National Security Agency,,,,,,,,,,"Job Description Event DateMay 06, 2021 4:00pm - 5:00pm (GMT-05:00) Eastern Time (US & Canada)Event Description:Join NSA for ""Real Talk"" on Diversity - Take 2: Fear of the Unknown, Fear of Rejection and Fear of ChangeInterested in learning how NSA policy supports diversity and inclusion? Then join...",~$15,https://www.snagajob.com/jobs/622645086
198,Shift Supervisor,Papa Murphy's Midwest,X,,X,,,,X,,,"Shift : First (Day), Second (Afternoon) “You are applying for work with Papa Murphy’s Midwest, a franchisee of Papa Murphy’s, not Papa Murphy’s International, Inc., or any of its affiliates. If hired, the franchisee will be your only employer. Franchisees are independent business owners who set t...",~$21,https://papamurphyscareers.com/clients/17207/posting/5514844/en?category=&city=&keywordsFilter=&state=
199,Member Solutions Advisor,Minnesota Credit Union Network,X,,,,,,,,X,"Member Solutions Advisor Great River Federal Credit Union Job Details Print Job Job Start Date: 04/22/2021 Type of Position: Full-Time Number of Openings: Job Location & Contact: 1532 W St. Germain Street St. Cloud , MN 56301 320-252-5393 Email Job Description: The Member Solutions Advisor has a ...",~$16,https://web.mncun.org/jobbank/joblistings.aspx
200,Operations Assistant Man...,DOLLAR TREE,X,,,,X,,,,,"Job Description Responsible for assisting with all operational tasks within the store as delegated and assigned by the Store Manager with main focus on the front-end and sales floor operations. Also assist with the hiring, training and development of store associates as delegated by the Store Man...",~$22,https://www.snagajob.com/jobs/620850011
201,Shift Leader - New Store...,Coffee & Bagel Brands,,,,,,,,,,"At Caribou Coffee we create day-making experiences that spark a chain reaction of GOOD ! This is our purpose. Our team brings this to life by focusing on what’s really important around here – TEAM, GUEST, QUALITY ! It’s that simple. If you’re ready to work somewhere you can be yourself while maki...",~$27,https://coffeeandbagelbrands.wd1.myworkdayjobs.com/en-US/coffeeandbagelbrands/job/St-CloudMN--310-Lincoln-Ave/Shift-Leader---NEW-Store-Opening_R75155
202,Maintenance Technician,Dungarvin,X,,,X,,,,,,"As a Maintenance Engineer you will be responsibile to coordinate a variety of services to assure buildings, grounds, and properties are always well maintained and in good repair. In this position you will maintain condition of the properties with regards to all aspects of electrical, carpentry, p...",~$16,https://de.jobsyn.org/0702bac8c396410fb9d721dc2c8a285d1387
203,Referral Coordinator/Sch...,Insight Health Corp,,,,,X,X,,X,,"We are seeking a Full-Time Referral Coordinator/Scheduling Specialist to work at both our Sartell and St. Cloud South centers. This role will work under the direction of the Office Supervisor, provides services to patients and internal/external referring professionals by coordinating and scheduli...",~$16,https://de.jobsyn.org/2293d3872822447489c4b1d0b51605ea1387
204,Chop Shoppe Merchandiser,"Coborn's, Incorporated",,X,X,,X,,,,X,"Description As an employee of Coborn's, Inc., the Chop Shoppe Merchandiser will prepare fresh-cut fruits, vegetables, and freshly made juices for our guests and Farmer's Market. The Chop Shoppe Merchandiser is responsible for ensuring continuous delivery of exceptional guest service, actively eng...",~$12,https://de.jobsyn.org/9ec6d788c6954f8dbb18ef863fc403601387
205,LEGAL SECRETARY/RECEPTIO...,Law Firm Staff,X,,,,,X,,,,"Refer to Job # YFUD803473 Legal Secretary/Receptionist The candidate will provide administrative support to attorneys and staff. Effectively communicate with clients. Answer phone calls, take notes/messages and redirect calls when appropriate. Greet visitors and perform initial screening of clien...",~$11,http://www.lawfirmstaff.com/job-details.php?key=998f2319e33ee6b1d7f6b387bafab6db
206,Hourly Supervisor and Tr...,Walmart,,,,,,,,,,"Hourly Supervisor and Training + Location ST CLOUD, MN + Career Area Walmart Store Jobs + Job Function Walmart Store Jobs + Employment Type Full & Part Time + Position Type Hourly + Requisition HST41219691CP What you'll do at Are you looking for a job that offers more responsibility, more pay, an...",~$30,https://de.jobsyn.org/9182bd13c711434da0efb5b0bfeed1421387
207,Auto Care Center,Walmart,,,,,,,,,,"Auto Care Center + Location ST CLOUD, MN + Career Area Walmart Store Jobs + Job Function Walmart Store Jobs + Employment Type Full & Part Time + Position Type Hourly + Requisition VCC41203116CP What you'll do at Are you an ace with car maintenance? With over 2500 auto centers nationwide and certi...",~$21,https://de.jobsyn.org/eb41b95a19bd46ac80ad970b4208447a1387
208,Work From Home - Custome...,__?__,,,,,X,,,,,"Our company that has been around for over 35 years is looking to expand. We are interviewing for positions in customer sales & service (entry level, no experience required). Interview online, start work within the week. What do the remote positions involve? Primary responsibilities include workin...",$17,https://stcloud.craigslist.org/csr/d/saint-cloud-work-from-home-customer/7312882081.html
209,Journeyman and Apprentic...,__?__,,,,X,,,,,,"Journeyman Plumber and Apprentice Plumber Are you spinning your wheels at your current job and want 3 day weekends? KMI Mechanical is seeking Journeyman Plumber and Apprentice Plumber. We are offering well above the local average plumbing wage, with excellent benefits! Come join our growing mecha...",~$27,https://stcloud.craigslist.org/trd/d/saint-cloud-journeyman-and-apprentice/7312958972.html
210,Staffing Administrative ...,__?__,,,,,X,,,,,"We are a local and family owned staffing firm that provides on-site management to our clients throughout Minnesota. This position will report to the On-site Manager within our on-site office at Sauk Rapids, MN. We are seeking candidates that are friendly and professional. If you have the ability ...",~$23,https://stcloud.craigslist.org/ofc/d/saint-cloud-staffing-administrative/7312998741.html
211,"$1,000 to $1,500 / week ...",__?__,,,,,,,,,,"Enjoy the benefits of local truck driving. Nothing beats sleeping in your own bed and being home with your family. Great Pay $1,000 to $1,500 per week Apply Here: https://www.mnexcavating.com/ Hard work comes with great rewards with great pay. Our full-time employees make $1,000 to $1,500 per wee...",~$22,https://stcloud.craigslist.org/trp/d/saint-cloud-1000-to-1500-week-dump/7312737135.html
212,Campus Security Officer ...,State of Minnesota,X,,,,X,,,,,Job Summary **Job Summary** Provide unarmed protection and security services for the persons and property of St. Cloud State University. Monitor and support patrol and special event activities of student patrol officers and supervisors. Responsibilities include determining and directing work assi...,$28,https://de.jobsyn.org/9b1288f5512644c2b2e898965e2ec65e1387
